Model,Price,RAM,Generation,Processor Type,Hard Drive Type,Hard Drive Size
Lenovo IdeaPad 3 15GL05 – Intel Celeron,"රු110,000.00",– 4GB DDR4 RAM,N/A,– Intel Celeron N4020 Processor,– 256GB NVMe SSD,– 256GB NVMe SSD
Dell Inspiron 3525 – Ryzen 7,"රු219,000.00",– 8GB DDR4 3200MHz RAM,N/A,– AMD Ryzen 7 5825U Processor,N/A,– 512GB M.2 PCIe NVMe Solid State Drive
Asus Vivobook 15 X513EA – i3,"රු215,000.00",– 4GB DDR4 RAM,N/A,– Intel Core i3-1115G4 Processor,– 512GB NVMe M.2 SSD,– 512GB NVMe M.2 SSD
Asus VivoBook M513UA – Ryzen 7,"රු299,000.00",– 8GB DDR4 RAM,N/A,– AMD Radeon Graphics,– 512GB NVMe SSD,– 512GB NVMe SSD
ASUS VivoBook M513UA – Ryzen 5,"රු280,000.00",– 8GB DDR4 RAM,N/A,– AMD Radeon Graphics,– 512GB SSD Hard Drive,N/A
Lenovo IdeaPad Slim 3 14ALC6 – Ryzen 7,"රු294,000.00",– 8GB DDR4-3200 RAM,N/A,– AMD Ryzen 7 – 5700U Processor,– 512GB M.2 PCIe NVMe SSD,– 512GB M.2 PCIe NVMe SSD
Dell Inspiron 3530 – i5,"රු238,000.00",– 8GB DDR4 2666MHz RAM,N/A,– Intel Core i5 – 1335U Processor,– 512GB M.2 PCIe NVMe SSD,– 512GB M.2 PCIe NVMe SSD
Dell Inspiron 3530 – i7,"රු279,000.00",– 8GB DDR4 3200MHz RAM,N/A,– Intel Core i7 – 1355U Processor,– 512GB M.2 PCIe NVMe SSD,– 512GB M.2 PCIe NVMe SSD
MSI Cyborg 15 A12UCX Gaming – i7,"රු285,000.00",– 16GB DDR5 4800MHZ RAM,N/A,– Intel Core i7 – 12650H Alder Lake Processor,– 512GB M.2 NVME GEN4 SSD,– 512GB M.2 NVME GEN4 SSD
Lenovo IdeaPad Slim 3 15ALC6 – Ryzen 5,"රු245,000.00",– 8GB DDR4-3200 RAM,N/A,– AMD Ryzen 5 – 5500U Processor,– 512GB M.2 PCIe NVMe SSD,– 512GB M.2 PCIe NVMe SSD
Asus ROG Zephyrus GU603VV Gaming – i7,"රු490,000.00",– 16GB DDR4 RAM,N/A,– Intel Core i7-13620H Processor,– 512GB PCIe 4.0 NVMe M.2 SSD,– 512GB PCIe 4.0 NVMe M.2 SSD
Asus Vivobook 16 X1605VA – i5,"රු189,500.00",– 8GB DDR4 RAM,N/A,– Intel Core i5-1335U Processor,– 512GB M.2 NVMe PCIe SSD,– 512GB M.2 NVMe PCIe SSD
Lenovo IdeaPad 5 Pro 16ARH7 – Ryzen 5,"රු375,000.00",– 16GB DDR5 6400 MHz RAM,N/A,– AMD Ryzen 5 – 6600HS Processor,– 512GB M.2 2280 PCIe NVMe SSD,– 512GB M.2 2280 PCIe NVMe SSD
Dell Inspiron 5420 – i7,"රු379,000.00",– 8GB DDR4 320MHz RAM,N/A,– Intel Core i7 – 1255U Processor,– 512GB PCIe NVMe SSD,– 512GB PCIe NVMe SSD
Dell Inspiron 5420 – i5,"රු335,000.00",– 8GB DDR4 320MHz RAM,N/A,– Intel Core i5 – 1235U Processor,– 512GB PCIe NVMe SSD,– 512GB PCIe NVMe SSD
HP ProBook 440 G9 – i5,"රු250,000.00",– 8GB DDR4-3200 MHz RAM,N/A,– Intel Core i5-1235U Processor,– 512GB PCIe NVMe M.2 SSD,– 512GB PCIe NVMe M.2 SSD
HP 15s eq3619au – Ryzen 5,"රු195,000.00",– 8GB DDR4-3200 MHz RAM,N/A,– AMD Ryzen 5  5625U Processor,– 512GB PCIe NVMe M.2 SSD,– 512GB PCIe NVMe M.2 SSD
HP 15 Fd0105TU – i5,"රු229,000.00",– 8GB DDR4 3200 RAM,N/A,– Intel Core i5-1335U Processor,– 512GB PCIe NVMe M.2 SSD,– 512GB PCIe NVMe M.2 SSD
Asus Creator Gaming Q540VJ – i9,"රු375,000.00",– 16GB DDR5 Onboard RAM,N/A,– Intel Core i9-13900H Processor,– 1TB M.2 NVMe 3.0 SSD,– 1TB M.2 NVMe 3.0 SSD
Lenovo IdeaPad Gaming 3 15ACH6 – Ryzen 5,"රු499,000.00",–  16GB SO-DIMM DDR4-3200 RAM,N/A,–  AMD Ryzen 5 – 5600H Processor,–  512GB M.2 NVMe SSD,–  512GB M.2 NVMe SSD
HP ProBook 450 G9 – i5,"රු280,000.00",– 8GB DDR4 3200 RAM,N/A,– Intel Core i5 – 1235U Processor,– 512GB NVMe SSD,– 512GB NVMe SSD
HP 15 fd0204TU – i5,"රු195,000.00",– 8GB DDR4 3200 RAM,N/A,– Intel Core i5 – 1335U Processor,– 512GB PCIe NVMe M.2 SSD,– 512GB PCIe NVMe M.2 SSD
Lenovo Ideapad Slim 5 Pro 16ACH6 – Ryzen 5,"රු339,000.00",– 16GB DDR4-3200 RAM,N/A,– AMD Ryzen 5 – 5600H Processor,– 512GB M.2 PCIe NVMe SSD,– 512GB M.2 PCIe NVMe SSD
Lenovo Ideapad Slim 5 Pro – 16ACH6 Ryzen 7,"රු439,000.00",– 16GB DDR4 RAM,N/A,– AMD Ryzen 7 5800H Processor,– 512GB M.2 NVMe SSD,– 512GB M.2 NVMe SSD
Lenovo IdeaPad 5 Pro 14ACN6 – Ryzen 5,"රු329,000.00",– 16GB DDR4 3200 RAM,N/A,– AMD Ryzen 5 5600U Processor,– 512GB M.2 NVMe SSD,– 512GB M.2 NVMe SSD
Asus TUF Gaming F15 FX506HF – i5,"රු249,000.00",– 16GB DDR4 3200 MHz RAM,N/A,– Intel Core i5 11260H Processor,– 512GB PCIe 3.0 NVMe M.2 SSD,– 512GB PCIe 3.0 NVMe M.2 SSD
Asus ExpertBook B9450FA – i5,"රු250,000.00",– 8GB 2133MHz LDDR3 on-board RAM,N/A,– Intel Core i5-10210U Processor,– 512GB NVME M.2 SSD,– 512GB NVME M.2 SSD
